workout_5605,workout_5606,workout_5607
464.0,29.0,255.0
379.0,26.0,253.0
407.0,28.0,245.0
434.0,27.0,255.0
497.0,27.0,275.0
432.0,26.0,261.0
474.0,29.0,256.0
589.0,29.0,297.0
518.0,31.0,263.0
439.0,27.0,255.0
519.0,28.0,275.0
528.0,27.0,280.0
431.0,28.0,246.0
597.0,28.0,315.0
357.0,25.0,248.0
617.0,29.0,307.0
461.0,29.0,253.0
507.0,24.0,298.0
515.0,29.0,265.0
442.0,26.0,256.0
531.0,30.0,265.0
471.0,30.0,247.0
433.0,27.0,252.0
452.0,28.0,253.0
429.0,26.0,255.0
434.0,28.0,245.0
457.0,27.0,255.0
517.0,27.0,275.0
651.0,30.0,302.0
489.0,27.0,265.0
408.0,29.0,238.0
462.0,27.0,255.0
539.0,29.0,270.0
521.0,29.0,265.0
521.0,29.0,265.0
492.0,31.0,245.0
521.0,27.0,275.0
463.0,26.0,262.0
428.0,30.0,235.0
505.0,26.0,275.0
530.0,26.0,282.0
443.0,28.0,245.0
459.0,29.0,245.0
568.0,29.0,275.0
578.0,28.0,285.0
482.0,23.0,285.0
462.0,29.0,245.0
339.0,29.0,225.0
360.0,27.0,235.0
384.0,24.0,251.32
720.0,31.0,315.0
452.0,27.0,253.5
607.0,27.0,306.0
476.0,24.0,275.0
606.0,29.0,281.0
555.0,30.0,265.0
457.0,31.0,235.0
448.0,24.0,265.0
391.0,30.0,227.0
586.0,31.0,265.0
507.0,27.0,265.0
454.0,25.0,260.0
524.0,23.0,330.69
488.0,29.0,251.0
590.0,31.0,265.0
501.0,25.0,275.0
446.0,30.0,235.0
514.0,29.0,255.0
565.0,28.0,275.0
444.0,25.0,255.0
596.0,32.0,264.0
509.0,25.0,275.0
427.0,25.0,250.0
575.0,30.0,265.0
470.0,26.0,255.0
451.0,22.0,275.0
451.0,27.0,245.0
435.0,24.0,255.0
455.0,25.0,255.0
413.0,24.0,250.0
613.0,31.0,265.0
510.0,25.0,273.37
474.0,27.0,250.0
536.0,26.0,275.0
561.0,27.0,275.0
547.0,25.0,281.0
438.0,26.0,245.0
525.0,27.0,265.0
519.0,25.0,275.0
630.0,27.0,295.0
488.0,31.0,235.0
392.0,22.0,255.0
443.0,26.0,245.0
460.0,31.0,231.49
417.0,27.0,235.0
652.0,30.0,275.0
500.0,29.0,245.0
524.0,25.0,275.0
631.0,31.0,265.0
511.0,27.0,255.0
591.0,35.0,247.0
452.0,24.0,255.0
494.0,28.0,245.0
401.0,26.0,235.0
665.0,28.0,292.0
497.0,26.0,255.0
475.0,27.0,245.0
494.0,27.0,250.0
622.0,32.0,255.0
615.0,27.0,277.5
515.0,26.0,260.0
411.0,25.0,243.0
478.0,26.0,250.0
398.0,25.0,237.0
597.0,26.0,280.0
483.0,32.0,225.0
577.0,30.0,255.0
481.0,24.0,260.0
520.0,24.0,275.0
520.0,27.0,255.0
720.0,31.0,276.0
539.0,28.0,255.0
523.0,27.0,255.0
658.0,27.0,290.0
719.0,31.0,275.0
238.0,41.0,176.0
578.0,23.0,315.0
756.0,30.0,305.0
563.0,24.0,285.0
467.0,25.0,250.0
656.0,28.0,280.0
442.0,27.0,235.0
662.0,31.0,265.0
556.0,30.0,250.0
493.0,25.0,255.0
458.0,27.0,240.0
483.0,28.0,242.0
535.0,24.0,275.0
601.0,25.0,285.0
569.0,31.0,245.0
572.0,31.0,245.0
507.0,27.0,248.0
433.0,26.0,235.0
625.0,27.0,275.0
440.0,22.0,255.0
476.0,25.0,247.0
596.0,26.0,275.0
479.0,22.0,265.0
505.0,27.0,245.0
539.0,22.0,285.0
586.0,31.0,245.0
413.0,26.0,232.0
652.0,27.0,276.0
423.0,24.0,242.0
506.0,19.0,300.0
549.0,24.0,275.0
504.0,23.0,265.0
574.0,22.0,305.0
593.0,29.0,255.0
562.0,26.0,265.0
513.0,26.0,253.0
553.0,24.0,275.0
451.0,22.0,255.0
465.0,44.0,205.0
524.0,24.0,265.0
438.0,27.0,230.0
642.0,27.0,275.0
682.0,27.0,280.0
533.0,28.0,245.0
616.0,28.0,265.0
481.0,22.0,260.0
499.0,26.0,245.0
682.0,26.0,287.0
519.0,25.0,255.0
501.0,26.0,245.0
653.0,25.0,287.0
635.0,30.0,255.0
627.0,28.0,265.0
462.0,22.0,255.0
418.0,24.0,235.0
673.0,31.0,257.0
625.0,26.0,275.0
466.0,24.0,245.0
439.0,25.0,235.0
567.0,29.0,247.0
660.0,27.0,275.0
488.0,25.0,245.0
526.0,25.0,255.0
502.0,28.0,235.0
542.0,27.0,250.0
427.0,24.0,235.0
526.0,27.0,245.0
