workout_5605,workout_5606,workout_5607
635.0,13.0,185.0
667.0,15.0,185.0
843.0,18.0,205.0
425.0,24.0,155.0
682.0,14.0,195.0
695.0,12.0,205.0
632.0,10.0,195.0
831.0,17.0,209.0
542.0,32.0,185.0
755.0,17.0,200.0
800.0,15.0,215.0
863.0,14.0,225.0
753.0,14.0,210.0
762.0,17.0,198.4
810.0,13.0,217.0
794.0,15.0,213.5
745.0,15.0,205.0
689.0,12.0,202.0
720.0,11.0,215.0
880.0,14.0,225.0
703.0,15.0,185.0
707.0,15.0,185.0
707.0,11.0,205.0
719.0,15.0,190.0
718.0,14.0,195.0
773.0,13.0,215.0
720.0,15.0,195.0
657.0,10.0,195.0
732.0,14.0,205.0
600.0,7.0,175.0
880.0,13.0,225.0
863.0,15.0,215.0
720.0,13.0,205.0
699.0,13.0,190.0
775.0,12.0,215.0
776.0,12.0,215.0
785.0,15.0,205.0
720.0,12.0,205.0
790.0,15.0,205.0
706.0,14.0,185.0
874.0,15.0,215.0
720.0,15.0,195.0
800.0,15.0,205.0
789.0,13.0,210.0
837.0,15.0,208.0
806.0,15.0,205.0
720.0,12.0,205.0
800.0,12.0,215.0
720.0,11.0,205.0
791.0,17.0,190.0
843.0,10.0,225.0
870.0,16.0,205.0
871.0,16.0,205.0
823.0,17.0,195.0
840.0,17.0,200.0
770.0,11.0,210.0
821.0,15.0,205.0
651.0,8.0,185.0
735.0,12.0,205.0
652.0,10.0,175.0
666.0,10.0,185.0
720.0,6.0,215.0
655.0,8.0,185.0
886.0,16.0,205.0
728.0,14.0,195.0
667.0,9.0,185.0
720.0,10.0,205.0
843.0,12.0,215.0
752.0,11.0,205.0
951.0,14.0,215.0
795.0,16.0,185.0
719.0,10.0,190.0
325.0,16.0,205.0
840.0,11.0,215.0
720.0,10.0,200.0
894.0,17.0,195.0
683.0,11.0,165.0
769.0,15.0,185.0
726.0,12.0,195.0
763.0,14.0,190.0
688.0,10.0,175.0
870.0,14.0,205.0
825.0,13.0,205.0
876.0,12.0,210.0
720.0,11.0,185.0
846.0,16.0,191.0
828.0,16.0,185.0
836.0,15.0,195.0
806.0,11.0,205.0
766.0,10.0,200.0
784.0,10.0,205.0
800.0,13.0,195.0
720.0,9.0,195.0
636.0,27.0,166.0
875.0,13.0,205.0
829.0,11.0,205.0
698.0,5.0,175.0
502.0,12.0,215.0
562.0,15.0,205.0
354.0,14.0,205.0
720.0,7.0,185.0
835.0,13.0,195.0
856.0,11.0,205.0
600.0,12.0,215.0
415.0,11.0,215.0
720.0,6.0,180.0
938.0,10.0,207.0
835.0,10.0,205.0
1014.0,16.0,185.0
891.0,7.0,215.0
876.0,11.0,205.0
926.0,12.0,205.0
720.0,8.0,185.0
774.0,11.0,185.0
824.0,9.0,201.0
791.0,9.0,195.0
864.0,10.0,205.0
793.0,10.0,190.0
1070.0,12.0,205.0
826.0,11.0,195.0
720.0,5.0,177.0
720.0,6.0,180.0
699.0,17.0,185.0
872.0,12.0,195.0
882.0,10.0,205.0
688.0,28.0,165.0
800.0,11.0,185.0
875.0,12.0,195.0
886.0,10.0,205.0
864.0,12.0,192.0
812.0,9.0,192.0
720.0,33.0,205.0
843.0,11.0,190.0
874.0,8.0,205.0
720.0,3.0,175.0
472.0,12.0,205.0
764.0,7.0,185.0
720.0,2.0,165.0
540.0,12.0,205.0
880.0,13.0,185.0
690.0,12.0,205.0
846.0,9.0,190.0
762.0,6.0,175.0
830.0,10.0,185.0
942.0,11.0,195.0
766.0,6.0,175.0
777.0,7.0,175.0
796.0,11.0,205.0
794.0,5.0,180.0
821.0,7.0,185.0
796.0,7.0,175.0
803.0,5.0,185.0
895.0,8.0,195.0
415.0,15.0,170.0
873.0,9.0,185.0
840.0,7.0,185.0
854.0,7.0,185.0
720.0,23.0,165.0
888.0,9.0,185.0
777.0,35.0,185.0
882.0,10.0,200.0
839.0,6.0,177.0
938.0,9.0,185.0
882.0,7.0,185.0
830.0,4.0,175.0
408.0,9.0,190.0
837.0,5.0,175.0
1025.0,5.0,190.0
886.0,8.0,175.0
943.0,8.0,180.0
720.0,14.0,125.0
366.0,10.0,177.0
893.0,4.0,185.0
383.0,8.0,185.0
392.0,8.0,185.0
938.0,7.0,176.0
1050.0,8.0,175.0
888.0,4.0,175.0
795.0,26.0,155.0
934.0,1.0,170.0
862.0,30.0,175.0
1002.0,0.0,145.0
620.0,9.0,175.0
700.0,7.0,185.0
573.0,8.0,175.0
718.0,7.0,185.0
296.0,43.0,215.0
308.0,46.0,215.0
309.0,39.0,205.0
343.0,36.0,205.0
699.0,4.0,185.0
340.0,35.0,195.0
308.0,33.0,185.0
340.0,33.0,185.0
905.0,25.0,185.0
392.0,37.0,195.0
458.0,40.0,225.0
387.0,36.0,185.0
880.0,18.0,165.0
306.0,33.0,165.0
537.0,35.0,240.0
525.0,35.0,215.0
890.0,27.0,135.0
253.0,33.0,160.0
369.0,28.0,185.0
406.0,35.0,175.0
431.0,32.0,195.0
882.0,18.0,145.0
1014.0,21.0,185.0
430.0,31.0,190.0
379.0,27.0,185.0
385.0,48.0,150.0
904.0,22.0,135.0
552.0,27.0,248.0
455.0,35.0,172.0
419.0,29.0,175.0
321.0,26.0,165.0
590.0,31.0,205.0
385.0,21.0,195.0
369.0,29.0,155.0
535.0,24.0,242.0
900.0,12.0,145.0
912.0,14.0,145.0
368.0,26.0,165.0
385.0,27.0,165.0
467.0,22.0,205.0
453.0,29.0,165.0
387.0,27.0,165.0
632.0,30.0,175.0
557.0,16.0,227.0
513.0,26.0,175.0
293.0,20.0,135.0
560.0,28.0,170.0
654.0,27.0,185.0
569.0,28.0,165.0
536.0,20.0,185.0
545.0,8.0,205.0
425.0,22.0,155.0
720.0,28.0,175.0
622.0,28.0,155.0
734.0,8.0,250.0
636.0,21.0,175.0
696.0,26.0,165.0
453.0,20.0,125.0
638.0,26.0,145.0
541.0,17.0,145.0
656.0,16.0,155.0
779.0,25.0,145.0
588.0,14.0,135.0
661.0,22.0,125.0
720.0,15.0,127.0
0,29.0,235.0
564.0,0,250.0
0,24.0,235.0
0,21.0,230.0
0,22.0,205.0
0,20.0,215.0
0,18.0,195.0
0,10.0,215.0
0,11.0,185.0
347.0,0,0
405.0,0,0
431.0,0,0
434.0,0,0
435.0,0,0
480.0,0,0
512.0,0,0
573.0,0,0
612.0,0,0
639.0,0,0
658.0,0,0
707.0,0,0
712.0,0,0
720.0,0,0
720.0,0,0
720.0,0,0
730.0,0,0
785.0,0,0
855.0,0,0
867.0,0,0
408.0,0,0
497.0,0,0
0,0,165.0
660.0,0,0
662.0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
