Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
BRE SMITH,398.0,10.0,135.0,151.0,263.0,1897.0,119.0
CHLOE COPPERSMITH,382.0,33.0,140.0,155.0,206.0,2020.0,139.0
JAMIE LESK,497.0,9.0,154.0,141.0,150.0,1903.0,45.0
ERIN MAGEE ERIN MAGEE,840.0,10.0,130.0,127.0,80.0,1841.0,44.0
CHELSEA BENNETT,566.0,36.0,140.0,150.0,246.0,1977.0,48.0
SOLENE RICHARD,664.0,17.0,94.0,124.0,217.0,1819.0,61.0
YADIRA GREESON,720.0,27.0,90.0,136.0,90.0,1915.0,63.0
ALEXANDRIA ZIKOYANIS,329.0,43.0,95.0,168.0,293.0,1744.0,45.0
ANGELA VELASQUEZ,720.0,14.0,135.0,144.0,109.0,1895.0,240.0
RACHAEL DURRANCE,495.0,36.0,115.0,155.0,159.0,1894.0,69.0
JEANINE SPAHN-SZTUCHLIK,1038.0,2.0,119.0,115.0,90.0,1863.0,16.0
TARA WOODRUFF,711.0,2.0,120.0,120.0,90.0,1863.0,37.0
NICOLE ONEILL,718.0,34.0,140.0,134.0,180.0,1947.0,92.0
JESSICA  CLARK,950.0,11.0,137.5,85.0,150.0,1645.0,38.0
LISA  FRYIA,476.0,14.0,135.0,145.0,170.0,1856.0,48.0
ALISON SMITH,889.0,3.0,120.0,72.0,170.0,1854.0,34.0
MERCURY SIMONIAN,598.0,30.0,115.0,139.0,205.0,1905.0,120.0
MICHELLE BROOKS,720.0,11.0,130.0,145.0,180.0,1904.0,64.0
DANIELA MEREDIZ LARA,850.0,3.0,115.0,120.0,90.0,1729.0,96.0
TINA FILIPPI,501.0,35.0,130.0,158.0,276.0,1917.0,91.0
EMILY WESTPHAL,519.0,4.0,115.0,134.0,200.0,1813.0,68.0
ASHLIE  TILLEY,690.0,41.0,137.0,116.0,150.0,1902.0,66.0
MISSY RIVERO,850.0,8.0,140.0,72.0,150.0,1583.0,40.0
JENNIFER ADAMS,900.0,22.0,110.0,120.0,167.0,1846.0,16.0
BETH MCCREADY,545.0,29.0,110.0,148.0,222.0,1812.0,70.0
NICOLE PEARL,720.0,6.0,126.0,98.0,130.0,1858.0,25.0
GRISELL RODRIGUEZ,398.0,30.0,150.0,152.0,280.0,1840.0,47.0
JESSICA GONZALEZ,330.0,31.0,120.0,123.0,298.0,1837.0,72.0
MADISON CUMMONS,886.0,22.0,100.0,139.0,188.0,1744.0,45.0
KAYCIE MORGAN,1020.0,28.0,135.0,119.0,162.0,1785.0,64.0
DAPHNE RODRIGUEZ,482.0,27.0,117.0,123.0,290.0,1732.0,44.0
MIRJANA KULICS,371.0,24.0,135.0,159.0,320.0,1708.0,96.0
GABI TORRES,362.0,28.0,110.0,126.0,247.0,1854.0,48.0
MELODY SAXON,480.0,13.0,105.0,117.0,248.0,1845.0,43.0
ALEXANDRA CRAIG,382.0,31.0,105.0,147.0,150.0,1855.0,94.0
LINDSAY VINCENT,483.0,27.0,115.0,92.0,293.0,1776.0,39.0
BRITTANY FREEZE,585.0,23.0,130.0,149.0,166.0,1871.0,69.0
LETICIA CABRERA,331.0,30.0,130.0,110.0,273.0,1732.0,71.0
ARACELI RIOS,583.0,33.0,135.0,165.0,278.0,1757.0,45.0
IVA NG,340.0,29.0,95.0,156.0,303.0,1741.0,64.0
GEORGIA  GEORGACOPULOS ,593.0,5.0,125.0,116.0,222.0,1877.0,92.0
JESSICA GUBERMAN,607.0,7.0,130.0,98.0,204.0,1741.0,24.0
MINDY CARRELL,502.0,4.0,120.0,122.0,188.0,1594.0,72.0
TRISHA ZEHRUNG,626.0,26.0,105.0,122.0,175.0,1860.0,22.0
JENNIFER MESZAROS,718.0,16.0,100.0,118.0,156.0,1827.0,17.0
SARAH GOMEZ,586.0,13.0,80.0,124.0,150.0,1804.0,8.0
KELLY COOK,445.0,38.0,125.0,106.0,161.0,1758.0,90.0
GHIZLANE ALLALI,291.0,28.0,95.0,112.0,170.0,1672.0,45.0
GLENDELINE ARENDS- MALDONADO,493.0,32.0,107.0,106.0,222.0,1757.0,188.0
ANGELA LAGE,558.0,28.0,120.0,113.0,228.0,1820.0,36.0
MARY DECHENE,667.0,26.0,115.0,158.0,162.0,1836.0,64.0
KRISTI KRON,483.0,30.0,115.0,129.0,247.0,1721.0,45.0
ALESSANDRA FERRETTI,382.0,28.0,105.0,137.0,193.0,1654.0,64.0
DONNA  GAINES ,439.0,26.0,115.0,110.0,200.0,1762.0,36.0
NATASHA BASSETT,580.0,34.0,125.0,123.0,150.0,1734.0,42.0
FELICITY CARR,542.0,13.0,65.0,97.0,243.0,1700.0,22.0
BETH GOUGE,628.0,18.0,85.0,114.0,158.0,1782.0,11.0
CARON SHIMEL,411.0,13.0,80.0,126.0,150.0,1828.0,13.0
MADELYN BETTA,528.0,26.0,105.0,86.0,192.0,1713.0,48.0
MARIA QUISTIAN,602.0,29.0,120.0,104.0,150.0,1746.0,16.0
KALU BRAKE,634.0,27.0,75.0,141.0,183.0,1740.0,21.0
STEPHANIE CHAU,729.0,33.0,135.0,88.0,154.0,1648.0,24.0
JENNA KELLY,625.0,11.0,95.0,105.0,200.0,1791.0,17.0
MARY STASIEWICZ,632.0,22.0,100.0,102.0,150.0,1812.0,15.0
ELYSHA CARRIERE,719.0,22.0,100.0,98.0,140.0,1789.0,42.0
MARCY RAMIREZ,758.0,24.0,100.0,84.0,175.0,1534.0,20.0
SABRINA DIERKSEN,945.0,20.0,90.0,96.0,175.0,1634.0,26.0
GRISELDA FLORES,607.0,22.0,85.0,103.0,157.0,1442.0,15.0
BRENDA SIMONIAN,366.0,34.0,115.0,146.0,260.0,1914.0,0
AVERY  HODGSON,638.0,12.0,140.0,114.0,322.0,2034.0,0
