Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
ANDREA BALTIERRA,854.0,11.0,130.0,130.0,150.0,1750.0,77.0
OLIVIA  STEWART ,820.0,8.0,125.0,135.0,150.0,1814.0,44.0
LAUREN SISSONS,928.0,11.0,132.0,116.0,150.0,1813.0,68.0
PHOEBE  MARTIN,721.0,19.0,110.0,152.0,320.0,1879.0,240.0
RACHEL BAKER,1400.0,9.0,135.0,134.0,131.0,1844.0,43.0
ANGEL ROBINSON,1114.0,7.0,140.0,123.0,190.0,1974.0,116.0
MARGAUX SPINALI,880.0,2.0,110.0,128.0,143.0,1698.0,41.0
EMILY ODOM,915.0,5.0,123.0,119.0,61.0,1717.0,36.0
NATALIA GUERRA,540.0,33.0,115.0,109.0,215.0,1697.0,91.0
ALLISON BORCH ,732.0,27.0,155.0,170.0,150.0,0,138.0
AMANDA  CORREA,794.0,24.0,160.0,153.0,150.0,1926.0,0
ERICKA MARIN,751.0,16.0,155.0,0,150.0,1818.0,47.0
BIRTA HANNESDÓTTIR,696.0,21.0,99.0,152.0,150.0,1743.0,0
RILEY MCGINLEY,720.0,3.0,120.0,152.0,98.0,1810.0,0
VALERIE TOH,895.0,9.0,130.5,126.0,0,1727.0,108.0
EMILIANA GUERRA,522.0,26.0,202.0,181.0,256.0,0,0
BRIANNA  KOURCE ,522.0,25.0,145.0,183.0,180.0,0,0
AUBREY STEELE,800.0,24.0,160.0,134.0,179.0,0,0
LINDSAY PLATT,747.0,12.0,145.0,166.0,150.0,0,0
MARIA SCHULZ,711.0,14.0,135.0,93.0,150.0,0,0
ALYSSA KING,717.0,12.0,135.0,77.0,130.0,0,0
WINTER  GUYETTE ,720.0,4.0,125.0,90.0,136.0,0,0
ERIN LANE,896.0,7.0,125.0,89.0,135.0,0,0
EMMA COVELLO,473.0,10.0,135.0,84.0,185.0,0,0
EVE COLVIN,617.0,25.0,185.0,0,204.0,0,0
SOPHIA SIMPSON,715.0,20.0,157.0,0,150.0,0,0
MONICA  ACOSTA,780.0,19.0,155.0,134.0,0,0,0
MORGAN MANEELY,604.0,13.0,143.0,144.0,0,0,0
SARAH BURNETT,0,15.0,150.0,108.0,0,1855.0,0
ALEXIS ROJAS,992.0,18.0,160.0,0,90.0,0,0
ASHLEY SCHROEDER,549.0,22.0,173.0,0,0,0,0
JULIA MARTORANO,700.0,19.0,155.0,0,0,0,0
JOCELYN  SUSARREY,638.0,19.0,145.0,0,0,0,0
MIA NEIL,692.0,15.0,155.0,0,0,0,0
HAYLEY DOANE,704.0,19.0,145.0,0,0,0,0
MANON  MANUGUERRA,720.0,17.0,154.0,0,0,0,0
ÁLFRÚN GUÐNADÓTTIR,720.0,16.0,150.0,0,0,0,0
UNA ÁSRÚN GÍSLADÓTTIR,720.0,9.0,134.0,0,0,0,0
AVERY PRETE,829.0,11.0,105.0,0,0,0,0
ANAID SANTANA,0,0,0,0,0,0,0
ANGELINA  KENNEDY ,0,0,0,0,0,0,0
BRENNY  CHAPA,0,0,0,0,0,0,0
ELLIE  TAYLOR,0,0,0,0,0,0,0
EMILIE  CAPUANO,0,0,0,0,0,0,0
HANNA MROCHUK,0,0,0,0,0,0,0
KERI CHRISTOPHER,0,0,0,0,0,0,0
MAKAYLA  WILLIAMS ,0,0,0,0,0,0,0
NELLIE ELLIS,0,0,0,0,0,0,0
NINA LADVENICOVA,0,0,0,0,0,0,0
RYLIE KRAHN,0,0,0,0,0,0,0
SARA REARICK,0,0,0,0,0,0,0
TANDRA KEEGAN,0,0,0,0,0,0,0
