Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
SUSAN B,468.0,28.0,187.0,178.0,209.0,2001.0,190.0
BROOKE LYON,595.0,29.0,167.0,194.0,218.0,2019.0,380.0
RACHEL SHALLOW,483.0,27.0,192.0,189.0,220.0,1921.0,239.0
VANESSA WAIGAND,513.0,28.0,180.0,186.0,206.0,1960.0,359.0
ANDREA  MAY,530.0,31.0,175.0,187.0,158.0,2030.0,234.0
CHLOE CHANLEY,578.0,28.0,187.0,182.0,197.0,2041.0,236.0
ANNIE BRUNNER,464.0,29.0,195.0,147.0,151.0,2133.0,379.0
SARAH MEASE,517.0,28.0,167.0,205.0,239.0,1929.0,405.0
ASHLEY KING,536.0,25.0,175.0,213.0,220.0,2032.0,167.0
SHELBY ANN,575.0,24.0,175.0,193.0,222.0,2065.0,261.0
DOROTHY WILLIAMS ,649.0,30.0,177.0,193.0,237.0,1987.0,261.0
MADELINE ROBBERSON,616.0,31.0,205.0,191.0,150.0,2195.0,162.0
ALANNA SMITH,453.0,27.0,186.0,194.0,150.0,2003.0,257.0
KORA FINDLER,573.0,30.0,166.0,193.0,150.0,2088.0,358.0
ALLY GALLOWAY,539.0,21.0,170.0,211.0,229.0,2009.0,647.0
FRANCESCA MARCHIORI,582.0,30.0,176.37,190.0,184.0,1991.0,238.0
MARILYN  RANDOLPH ,543.0,34.0,185.0,184.0,189.0,1956.0,191.0
KATE MILLS,609.0,32.0,195.0,183.0,151.0,2213.0,143.0
EMILY CILLA,486.0,24.0,165.0,206.0,151.0,2133.0,284.0
POCHY VALDES,515.0,24.0,186.0,196.0,263.0,1883.0,284.0
MARISSA  OXENFORD ,466.0,27.0,160.0,220.0,265.0,1923.0,263.0
SHEVEZ FREEMAN,586.0,31.0,215.0,163.0,203.0,1945.0,331.0
ERIN HAMILTON,491.0,23.0,172.8,191.0,186.0,2067.0,190.0
MARISSA MARTINEZ,462.0,27.0,160.0,205.0,224.0,1954.0,260.0
SAMANTHA STUART,535.0,29.0,185.0,194.0,201.0,1898.0,216.0
IZZY NELSON,551.0,24.0,165.0,222.0,156.0,2032.0,428.0
MELISA RODRIGUEZ,597.0,28.0,190.0,188.0,247.0,1910.0,233.0
SIERRA STOLTZFOOS,527.0,27.0,185.0,180.0,208.0,1969.0,213.0
ASHLEY UNDERHILL,634.0,32.0,185.0,181.0,150.0,2048.0,232.0
ELIZABETH HAND,592.0,27.0,170.0,189.0,200.0,2065.0,188.0
AMIE MAGUIRE,574.0,31.0,185.0,201.0,156.0,1892.0,218.0
MARIJOSE FERNÁNDEZ ,511.0,30.0,180.0,176.0,206.0,1985.0,116.0
NASHARAY CHISM,520.0,27.0,185.0,168.0,186.0,1975.0,240.0
GABRIELLE MONTENEGRO,687.0,29.0,205.0,181.0,151.0,2156.0,189.0
BROOKE GAGLIANO,509.0,32.0,175.0,204.0,150.0,1965.0,128.0
KELSEY KINSELLA,579.0,26.0,170.0,188.0,160.0,2115.0,191.0
PAIGE HOLLOWAY,569.0,28.0,160.0,193.0,197.0,2041.0,208.0
KAREN COLWELL,563.0,28.0,165.0,192.0,150.0,2184.0,213.0
CLARA MOON,531.0,25.0,175.0,164.0,281.0,1989.0,257.0
TORI GARCIA,625.0,24.0,175.0,218.0,187.0,2008.0,237.0
MARINA LIMA,529.0,27.0,170.5,186.0,232.0,1966.0,167.0
CALLIE CLABORN,538.0,25.0,145.0,211.0,192.0,2077.0,307.0
DANIELLE HUSTON,665.0,32.0,175.0,161.0,150.0,2182.0,383.0
SOLANGE  AVALLONE,448.0,25.0,175.0,195.0,214.0,1882.0,190.0
ALLISON BROSKO,632.0,29.0,190.0,180.0,151.0,2024.0,214.0
JOSEFA RIQUELME,570.0,28.0,173.0,188.0,251.0,1925.0,189.0
MARIANA KHALIL JACOTT,494.0,27.0,180.5,193.0,236.0,1820.0,184.0
CLAIRE WILLIAMS,623.0,27.0,178.0,208.0,150.0,2031.0,288.0
LEXY  DIAZ,623.0,31.0,190.0,187.0,150.0,2070.0,161.0
SARAH HELPA,502.0,22.0,165.0,206.0,216.0,1910.0,335.0
BRIDGET  ARMSTRONG,715.0,27.0,190.0,162.0,220.0,2026.0,239.0
VIVIANA  CALVO JIMENEZ ,565.0,28.0,175.0,202.0,150.0,2021.0,135.0
COLETTE BOLOWICH,470.0,25.0,175.0,187.0,218.0,1914.0,142.0
KRISTIN LUCIA,720.0,28.0,192.0,195.0,150.0,2036.0,211.0
EMILY BUCKSATH,606.0,35.0,205.0,199.0,150.0,2057.0,209.0
ERIN JAUCH,479.0,27.0,170.0,181.0,280.0,1885.0,166.0
AMY DEAN,655.0,26.0,165.0,230.0,150.0,2043.0,286.0
VANESSA LOPEZ,648.0,30.0,205.0,186.0,150.0,2031.0,136.0
ALLYSON PRIANO,593.0,27.0,185.0,185.0,150.0,2083.0,118.0
CRYSTAL MAHER,663.0,27.0,175.0,181.0,193.0,2003.0,235.0
SAMANTHA CARNEY,659.0,26.0,155.0,220.0,255.0,1934.0,527.0
KATIE FALKOWSKI,622.0,30.0,162.0,162.0,242.0,1991.0,284.0
JESSICA SEHNKE,601.0,26.0,170.0,190.0,150.0,2056.0,259.0
JENNE LOPEZ,673.0,26.0,195.0,178.0,226.0,1914.0,261.0
LINDSEY  OTANICAR,603.0,25.0,165.0,184.0,260.0,1985.0,192.0
SAVANNAH BISHOP,522.0,26.0,180.0,177.0,236.0,1871.0,187.0
LYDIA WANG,630.0,25.0,165.0,209.0,269.0,1872.0,331.0
MYRIAM COULOMBE ,582.0,30.0,185.0,184.0,97.0,1985.0,264.0
VELVET MINNICK,634.0,21.0,182.0,190.0,156.0,2024.0,208.0
JANNA KLASSEN,587.0,28.0,170.0,188.0,151.0,2023.0,118.0
NAS HIGH,569.0,28.0,185.0,192.0,150.0,1940.0,139.0
MARIA DEL MAR CRUZ,578.0,32.0,180.0,176.0,150.0,1939.0,167.0
NATALIE THOMPSON,689.0,25.0,195.0,179.0,153.0,2092.0,140.0
MARIA  HERNANDEZ ,590.0,24.0,175.0,166.0,209.0,1983.0,216.0
KRISTIN  CICIARELLI,698.0,33.0,170.0,170.0,150.0,2104.0,211.0
MORGAN  MCNALLY,585.0,26.0,180.0,182.0,154.0,1946.0,211.0
CHRISTINE LAVALLÉE,681.0,28.0,165.0,203.0,153.0,1965.0,259.0
STEPHANIE PRICE,664.0,28.0,175.0,172.0,150.0,2072.0,168.0
BETHANY  MCCLOY,725.0,31.0,165.0,195.0,199.0,1971.0,207.0
J NICOLE BLOOMER ,820.0,28.0,170.0,190.0,160.0,2043.0,264.0
RACHEL LEAH CANNON,547.0,24.0,154.0,206.0,192.0,1973.0,234.0
JESSI SEIDMAN,520.0,22.0,175.0,188.0,220.0,1891.0,164.0
BRITTANY WANNER,562.0,28.0,175.0,188.0,150.0,1914.0,181.0
MARY FLECK,720.0,24.0,155.0,227.0,155.0,2135.0,258.0
MEGAN GAUL,550.0,26.0,160.0,188.0,150.0,1969.0,262.0
LONA JACKSON ,496.0,40.0,120.0,173.0,326.0,1905.0,336.0
AMANDA NEGRON,680.0,26.0,165.0,194.0,150.0,2009.0,260.0
RACHAEL ROOKEN-SMITH,492.0,46.0,135.0,188.0,167.0,2019.0,92.0
JENN GOFF,524.0,25.0,165.0,166.0,198.0,1924.0,239.0
MICHELLE DE JONG,640.0,25.0,175.0,190.0,150.0,1942.0,283.0
BRITTANY MOORE,595.0,22.0,156.0,201.0,157.0,1979.0,259.0
KENDRA  LEE,526.0,22.0,175.0,175.0,270.0,1861.0,188.0
CHELSEA BLAIR,518.0,22.0,155.0,184.0,151.0,2077.0,187.0
KIM SEALY,636.0,26.0,175.0,183.0,160.0,1981.0,116.0
LESLIE REVEROL,548.0,26.0,180.0,174.0,150.0,1960.0,167.0
ALEXANDRA PAOLUCCI,590.0,29.0,155.0,169.0,150.0,2058.0,233.0
SARAH SIEFERT,702.0,26.0,175.0,181.0,187.0,1987.0,164.0
ERIN MCINTYRE,590.0,27.0,175.0,185.0,150.0,2071.0,73.0
ERIKA MARTIN,602.0,21.0,165.0,189.0,157.0,1990.0,260.0
SARAH BUCKLEY,599.0,28.0,165.0,171.0,182.0,1930.0,190.0
HANA WHITFIELD,639.0,20.0,165.0,191.0,150.0,2057.0,311.0
ERIKA BIENLIEN,660.0,28.0,165.0,184.0,150.0,1948.0,286.0
ANA PAULINA VAN NORTWICK,525.0,23.0,160.0,188.0,158.0,1938.0,213.0
BROOKE MCDANIEL,529.0,24.0,171.0,152.0,150.0,2094.0,216.0
CAITLIN BRENNAN,571.0,22.0,155.0,194.0,190.0,1955.0,214.0
CAITLIN ORTIZ,643.0,23.0,175.0,187.0,150.0,2006.0,401.0
MÉLODIE ALLARD,505.0,29.0,177.0,205.0,241.0,1.0,1.0
KARA PARKER,515.0,26.0,165.0,152.0,157.0,2006.0,163.0
SAMANTHA FAVREAU,691.0,32.0,176.0,177.0,150.0,1972.0,139.0
MEGAN SIEBERT,555.0,21.0,167.0,206.0,150.0,1969.0,284.0
KATRINA PARSONS,558.0,24.0,161.0,172.0,156.0,2013.0,165.0
KELLY SULLIVAN,521.0,22.0,155.0,180.0,152.0,1987.0,263.0
RASHELL HAGLER,740.0,28.0,175.0,183.0,150.0,2076.0,139.0
RACHEL  HOUGESEN,720.0,21.0,175.0,187.0,190.0,2037.0,144.0
ANDREA ALVARADO,598.0,24.0,155.0,185.0,199.0,1954.0,224.0
KARI TOMLINSON ,666.0,25.0,165.0,191.0,115.0,2142.0,213.0
ANGELA CRAIG,674.0,26.0,165.0,194.0,150.0,1975.0,214.0
EMILY MUIR,586.0,33.0,185.0,120.0,150.0,2062.0,80.0
KYRA  WILLIAMS,584.0,20.0,152.0,196.0,169.0,1952.0,355.0
DIANA ZABRODOVA,583.0,20.0,165.0,190.0,169.0,1981.0,140.0
ROBIN JONES,554.0,32.0,155.0,158.0,159.0,1910.0,185.0
CINDY GARIÉPY-ROCHON,593.0,22.0,160.0,166.0,205.0,1965.0,212.0
DIANA GOLD,652.0,21.0,175.0,221.0,150.0,1896.0,261.0
GLENNA DORSAK,622.0,28.0,175.0,147.0,150.0,1997.0,165.0
ASHLEY RUSSELL,607.0,27.0,170.0,173.0,171.0,1921.0,93.0
ASHLEY MITCHELL,622.0,29.0,165.0,160.0,158.0,1966.0,94.0
JENNIFER HUNCHUCK,754.0,29.0,166.0,190.0,157.0,1867.0,259.0
KATELYN  TOOLEY,720.0,25.0,177.0,192.0,150.0,2014.0,98.0
COURTNEY STERNER,651.0,27.0,170.0,166.0,158.0,1909.0,165.0
MELODY SCHOFIELD,604.0,22.0,175.0,193.0,213.0,1861.0,91.0
HALEY POST,760.0,26.0,175.0,162.0,155.0,1973.0,247.0
MADELEINE PRANGLEY,720.0,21.0,165.0,200.0,150.0,2037.0,165.0
MICHELLE LOWE,756.0,26.0,195.0,170.0,193.0,1918.0,118.0
SANDRA ZAOUROU ,528.0,17.0,148.81,198.0,159.0,1997.0,150.0
NATALIE SCOTT,568.0,25.0,170.0,166.0,151.0,1916.0,136.0
LOURDES RUIZ,753.0,21.0,190.0,184.0,195.0,1943.0,141.0
