Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
DALLIN PEPPER,344.0,34.0,310.0,184.0,279.0,2432.0,328.0
DYLAN KADE,339.0,36.0,277.0,179.0,306.0,2350.0,359.0
JACOB MORRIS,332.0,33.0,278.0,169.0,277.0,2385.0,240.0
DAVIEL  OSTOLAZA,330.0,34.0,295.0,180.0,255.0,2285.0,235.0
LUKE NORMAN,349.0,36.0,316.0,161.0,230.0,2358.0,222.0
NOAH CASEY,395.0,29.0,338.0,170.0,260.0,2283.0,260.0
NICK TUNZI,410.0,30.0,305.0,156.0,286.0,2269.0,429.0
ANTHONY VERDERAIME ,322.0,30.0,295.0,169.0,240.0,2265.0,205.0
Gabi Castro,364.0,30.0,288.0,160.0,229.0,2333.0,256.0
WILLIAM KEARNEY,353.0,26.0,287.0,168.0,258.0,2304.0,213.0
JACKSON DROHAN,384.0,28.0,305.0,157.0,254.0,2281.0,234.0
VINCENT RAMIREZ,357.0,33.0,305.0,151.0,242.0,2271.0,198.0
TUDOR MAGDA,385.0,28.0,265.0,165.0,263.0,2282.0,260.0
CONNOR SLOBODA,380.0,29.0,267.0,161.0,225.0,2303.0,406.0
CALEB GOODMAN,373.0,33.0,302.0,163.0,217.0,2261.0,209.0
GERARDO TORRES,384.0,30.0,302.0,148.0,245.0,2299.0,209.0
SERGIO ZURITA,365.0,29.0,305.0,171.0,255.0,2210.0,141.0
ANDREW MADRID,409.0,28.0,247.0,165.0,271.0,2253.0,239.0
JAKE PAIANINI,452.0,28.0,252.0,173.0,302.0,2244.0,284.0
DANIEL STERLING,397.0,26.0,275.0,150.0,250.0,2261.0,213.0
RYAN HAYNES,362.0,28.0,237.0,161.0,256.0,2289.0,160.0
RAMON CORONADO,410.0,28.0,310.0,162.0,230.0,2134.0,186.0
LUIS  DEGWITZ,477.0,25.0,300.0,152.0,250.0,2271.0,256.0
EVAN GUSTI,418.0,25.0,317.0,154.0,241.0,2210.0,154.0
LUIS CACACHO,369.0,29.0,247.5,151.0,270.0,2201.0,129.0
GAEL CASTILLO,577.0,28.0,290.0,160.0,225.0,2381.0,158.0
MACKENZIE MILLER,446.0,27.0,272.0,171.0,209.0,2196.0,218.0
BRADEN  MULLER,394.0,26.0,270.0,139.0,257.0,2215.0,160.0
DANIEL JENSON,382.0,29.0,225.0,153.0,248.0,2189.0,191.0
MICHELE LA MURA,444.0,22.0,247.0,151.0,245.0,2499.0,232.0
COLE  MARTINEZ,449.0,27.0,278.0,153.0,196.0,2220.0,213.0
LUCAS PUSCH,357.0,30.0,287.0,137.0,223.0,2152.0,115.0
YAGO FREIRE,388.0,28.0,245.0,131.0,254.0,2230.0,191.0
TOMAS SARMIENTO,419.0,28.0,255.0,148.0,230.0,2213.0,117.0
MICHAEL FOLDES,439.0,26.0,246.0,157.0,245.0,2166.0,167.0
MANUEL DOBÓN SELVA,427.0,27.0,254.0,141.0,229.0,2221.0,154.0
KAID  REGISTER,526.0,28.0,255.0,182.0,207.0,2229.0,141.0
FRANCIS PELLETIER,442.0,30.0,265.0,146.0,156.0,2247.0,143.0
VICTOR DELGADO,493.0,31.0,261.0,160.0,191.0,2162.0,165.0
ADAM KIDD,407.0,26.0,237.0,142.0,219.0,2220.0,189.0
SAM WEY,448.0,25.0,295.0,144.0,205.0,2203.0,142.0
BRANDON FABRY,473.0,28.0,230.0,153.0,199.0,2273.0,164.0
PATRICIO SANDOVAL AGUILAR,465.0,27.0,260.0,145.0,212.0,2249.0,111.0
NOAH HARDWICK,375.0,26.0,240.0,144.0,195.0,2299.0,96.0
JAVIER ARENCIBIA,464.0,28.0,247.0,138.0,206.0,2210.0,184.0
STEFANO ZUCCHIATTI,412.0,24.0,246.0,129.0,217.0,2260.0,166.0
