Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
DELAINA  SNIDER,394.0,36.0,207.0,151.0,193.0,2113.0,237.0
NICOLE CORRIERO,410.0,35.0,212.0,157.0,161.0,2135.0,248.0
RAELYNN BATDORFF,421.0,35.0,191.0,154.0,185.0,2187.0,212.0
DEANNA POSEY,440.0,31.0,196.0,153.0,223.0,2103.0,254.0
SARA BLUNCK,425.0,34.0,198.0,152.0,214.0,2055.0,211.0
TERESA TROJANOWSKI,444.0,33.0,217.0,147.0,191.0,2090.0,214.0
DIONNE GUTIERREZ,452.0,35.0,222.0,152.0,169.0,2167.0,136.0
RACHEL CESA,433.0,34.0,186.0,151.0,213.0,2077.0,232.0
URSULA FASEL,426.0,30.0,187.0,155.0,220.0,2123.0,211.0
JACQUELINE MIMS,432.0,32.0,201.0,152.0,219.0,2026.0,189.0
NIKKI ECKEBRECHT ,527.0,33.0,195.0,168.0,213.0,2194.0,184.0
MELISSA GEANEY,448.0,35.0,185.0,147.0,166.0,2081.0,258.0
EMILY STREBEL,431.0,36.0,201.0,132.0,213.0,2024.0,211.0
SARINA CLARK,417.0,36.0,205.0,139.0,170.0,2014.0,188.0
ELMA DUCIC,416.0,32.0,190.0,149.0,163.0,2061.0,214.0
KAELA PITTS,456.0,30.0,200.0,146.0,175.0,2094.0,212.0
ZIA  ROHRBAUGH,451.0,30.0,210.0,147.0,235.0,1996.0,112.0
AUTUMN SPENCE,457.0,35.0,180.0,145.0,213.0,1973.0,181.0
SAMANTHA STINE,461.0,34.0,165.0,155.0,161.0,2107.0,236.0
REBECCA JOHNSON,575.0,35.0,185.0,149.0,164.0,2114.0,184.0
SONYA  MCMILLAN ,487.0,32.0,205.0,134.0,240.0,1969.0,164.0
MOLLY MULLANE,445.0,30.0,170.0,153.0,164.0,2055.0,214.0
JILL DIGIAMPAOLO,512.0,33.0,190.0,140.0,164.0,2084.0,213.0
SOPHIE HUDON,461.0,34.0,185.0,134.0,213.0,1987.0,140.0
CHRISTINA MERLO,479.0,29.0,196.0,149.0,183.0,2027.0,114.0
BELINDA GONZALES,444.0,33.0,192.0,131.0,161.0,1952.0,220.0
TAYLOR LARABEE,434.0,31.0,155.0,142.0,169.0,2122.0,211.0
AUBREY GRECO,442.0,30.0,167.0,149.0,163.0,2089.0,207.0
JAMIE LATIMER,444.0,30.0,172.0,152.0,162.0,2101.0,117.0
JEN WHITE,603.0,33.0,212.2,125.0,164.0,2104.0,158.0
JOYCE SANCHES,471.0,25.0,195.0,140.0,231.0,1938.0,164.0
ALEX KIRBY,527.0,35.0,185.0,145.0,150.0,2010.0,210.0
LACI KNIGHT,579.0,29.0,200.0,134.0,162.0,2137.0,118.0
LAUREN PETTINEO,602.0,33.0,191.0,125.0,193.0,2000.0,158.0
DERRAH GOUSIE,461.0,34.0,170.0,125.0,152.0,2098.0,137.0
ALISON MULDER,578.0,31.0,197.0,146.0,155.0,1933.0,191.0
MIRANDA ALCARAZ,598.0,30.0,175.0,145.0,176.0,2025.0,110.0
REBECCA  BALLSTAEDT ,477.0,26.0,170.0,160.0,164.0,2001.0,93.0
ANA VANESSA  RUARO,486.0,28.0,178.2,119.0,170.0,1987.0,136.0
MEGHAN HELWIG,538.0,26.0,190.0,133.0,150.0,2085.0,160.0
DEBORAH WALSTON,515.0,29.0,180.0,124.0,168.0,1967.0,116.0
HEATHER CHAPA,654.0,33.0,200.0,103.0,162.0,2026.0,138.0
JENNIFER OLIVA,490.0,27.0,175.0,118.0,162.0,1997.0,142.0
TAISIYA THOMPSON,551.0,25.0,185.0,123.0,165.0,2034.0,113.0
KATE HOWARD,562.0,26.0,170.0,141.0,150.0,2139.0,116.0
MARIANA OROZCO SOLÍS,504.0,28.0,165.0,126.0,190.0,1905.0,109.0
JENNIFER  GOOD,784.0,28.0,170.0,147.0,159.0,2069.0,112.0
MARIA HOLEE,518.0,27.0,177.0,107.0,169.0,1896.0,94.0
KATE MAGEE,531.0,21.0,160.0,136.0,159.0,2030.0,118.0
BECKY GRAHAM,453.0,29.0,170.0,116.0,156.0,1928.0,67.0
AMANDA DAVIS,521.0,23.0,158.0,144.0,155.0,1925.0,164.0
STEPHANIE  POEPPELMAN,598.0,27.0,185.0,124.0,116.0,2051.0,90.0
STEPHANIE STOKES,476.0,27.0,165.0,117.0,144.0,2057.0,93.0
JENNIFER LOREN,783.0,29.0,175.0,133.0,155.0,2046.0,68.0
LAURA SAMS,574.0,25.0,181.0,117.0,160.0,1952.0,68.0
LEAH PIERCE ,696.0,22.0,175.0,123.0,222.0,1932.0,91.0
TARNA LEMIEUX,720.0,30.0,175.0,120.0,116.0,1950.0,139.0
ROBIN MANEY,558.0,23.0,165.0,117.0,154.0,2024.0,120.0
CARRIE BULKOWSKI,510.0,22.0,166.0,114.0,167.0,1891.0,91.0
SEANNA SWAYNE,544.0,26.0,160.0,136.0,105.0,2053.0,38.0
CHRISTIANE  VIEIRA,560.0,25.0,170.0,121.0,156.0,1874.0,90.0
STEPHANIE VAUGHAN,770.0,27.0,170.0,128.0,118.0,2039.0,64.0
MEGAN MCKENZIE,772.0,25.0,175.0,127.0,101.0,2007.0,134.0
MEREDITH FRIDAY,591.0,22.0,155.0,90.0,179.0,1957.0,115.0
JANELLE MCCRACKEN,698.0,22.0,165.0,133.0,115.0,2027.0,116.0
JESSICA CRONKHITE,464.0,22.0,165.0,101.0,159.0,1870.0,67.0
NOHELIA SANCHEZ,575.0,23.0,170.0,117.0,112.0,1993.0,93.0
MARIAH  PROVOST ,618.0,24.0,157.0,106.0,165.0,1843.0,93.0
JESSICA YEAHPAU,673.0,25.0,175.0,90.0,130.0,1938.0,67.0
KATE MCNAMEE,594.0,25.0,157.5,113.0,152.0,1934.0,65.0
JACQUELYN CAIN,775.0,23.0,150.0,134.0,150.0,1917.0,71.0
JESSICA AUTH,709.0,25.0,165.0,114.0,155.0,1780.0,64.0
KORTNEY TERRY,572.0,22.0,155.0,119.0,154.0,1852.0,36.0
FLORENCE  PILLARD,720.0,18.0,125.0,112.0,150.0,2010.0,143.0
SARAH STERN,720.0,17.0,155.0,106.0,160.0,1876.0,64.0
HEATHER ABBEY,624.0,14.0,143.0,96.0,152.0,1974.0,67.0
PATRICIA NAULIN,740.0,10.0,141.0,84.0,91.0,2254.0,94.0
MISTY ADFIELD,661.0,15.0,135.0,115.0,150.0,1856.0,48.0
STACI SWOTEK,819.0,20.0,160.0,68.0,151.0,1857.0,62.0
ANEL VILLA,657.0,19.0,155.0,86.0,107.0,1889.0,47.0
KATIE THOMEN,743.0,15.0,152.0,101.0,116.0,1900.0,64.0
JAIME POLLARD-SMITH,760.0,20.0,155.0,78.0,147.0,1890.0,16.0
ERIN CONRAD,686.0,14.0,140.0,88.0,110.0,1946.0,44.0
SANDRA  RICKING ,703.0,16.0,145.0,68.0,128.0,1794.0,69.0
COURTNEY TICE,729.0,16.0,150.0,179.0,115.0,1966.0,120.0
JULIANA REIS,766.0,17.0,150.0,66.0,150.0,1858.0,21.0
LAURA PARKER,720.0,15.0,150.0,93.0,100.0,1845.0,22.0
FARRAH WOOD,838.0,15.0,150.0,83.0,110.0,1919.0,34.0
STEPHANIE WEAVER,820.0,14.0,145.0,94.0,105.0,1833.0,40.0
ARIELLA JONAS,830.0,18.0,150.0,151.0,195.0,1903.0,138.0
TIFFANY DIVELBISS,820.0,13.0,145.0,68.0,119.0,1844.0,40.0
LERA BEUSSINK ,853.0,4.0,120.0,66.0,90.0,1757.0,10.0
DANIELLE CAMPBELL,736.0,31.0,185.0,132.0,155.0,0,165.0
JULIE SZABO,566.0,19.0,145.0,123.0,157.0,0,115.0
KATHLEEN CALLAHAN,647.0,21.0,157.0,0,118.0,1901.0,46.0
MELISSA PONZIO,697.0,19.0,155.0,73.0,155.0,1892.0,0
KIM THIBODEAU,720.0,10.0,130.0,88.0,111.0,1793.0,0
MICHELLE KASKER,554.0,31.0,210.0,121.0,197.0,0,0
MEGAN LINEHAN,480.0,34.0,185.0,127.0,163.0,0,0
GIERMAINE KINNICK,560.0,33.0,205.0,144.0,159.0,0,0
FELICIA KAINE,440.0,29.0,155.0,145.0,168.0,0,0
DIANA DEVOT,495.0,30.0,210.0,117.0,155.0,0,0
JEN PAMER,487.0,27.0,165.0,146.0,166.0,0,0
MEGAN BOYER,506.0,34.0,175.0,118.0,155.0,0,0
JENN  MARKER,551.0,26.0,180.0,136.0,160.0,0,0
AMANDA JOHNSON,595.0,30.0,180.0,134.0,159.0,0,0
KAYLA JOHNSON,520.0,29.0,180.0,126.0,154.0,0,0
JESSICA SANKI,477.0,27.0,170.0,126.0,119.0,0,0
ERICA RIOS,535.0,27.0,165.0,132.0,157.0,0,0
SARAH GRACE-KIMBALL,570.0,26.0,165.0,112.0,160.0,0,0
MELANIE REESE,702.0,26.0,175.0,117.0,145.0,0,0
MICHELLE HEWITT,616.0,24.0,175.0,85.0,150.0,0,0
LUISA PORRAS,716.0,27.0,170.0,108.0,103.0,0,0
SANDY CARUCO,712.0,20.0,170.0,72.0,153.0,0,0
KERRIE PETERSON,861.0,23.0,155.0,104.0,151.0,0,0
HALVI  MEFFORD,720.0,16.0,145.0,92.0,116.0,0,0
MARILYN RANDOLPH,543.0,34.0,185.0,117.0,0,0,0
TRACEY  JONES,593.0,31.0,207.0,0,154.0,0,0
TATIANA MOROZOVA,0,0,0,124.0,154.0,2102.0,91.0
MARY BEYER,769.0,30.0,165.0,127.0,0,0,0
TRACY CANDILORE,504.0,22.0,155.0,120.0,0,0,0
SHAWNA NORTON,838.0,21.0,155.0,124.0,0,0,0
JANET WALKER,996.0,4.0,130.0,52.0,0,0,0
SHANNA DUVALL,436.0,0,0,119.0,205.0,0,0
ERIN SIMS,403.0,28.0,167.0,0,0,0,0
SARAH HARVEY,501.0,26.0,190.0,0,0,0,0
EILEEN ROGERS,488.0,27.0,170.0,0,0,0,0
SARAH MCDOWELL,483.0,20.0,181.0,0,0,0,0
TRISHA ROBINSON,582.0,26.0,175.0,0,0,0,0
