Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
RYAN STARLING,332.0,37.0,335.0,141.0,225.0,2320.0,211.0
GENE POLK JR,362.0,37.0,306.0,153.0,188.0,2364.0,228.0
BRANDON SHUCK,384.0,34.0,327.0,145.0,232.0,2319.0,208.0
PAUL DELANOY,368.0,36.0,305.0,131.0,230.0,2349.0,190.0
ALLEN WASINGER,429.0,39.0,330.0,154.0,171.0,2435.0,210.0
RYON ANDERSON,385.0,35.0,280.0,137.0,197.0,2447.0,213.0
AARON BIELEFELDT,365.0,35.0,315.0,126.0,194.0,2291.0,184.0
HYEONG JAE PARK,362.0,32.0,312.5,138.0,230.0,2290.0,157.0
STAN WHITE,467.0,34.0,315.0,146.0,176.0,2444.0,212.0
KEVIN JONES,365.0,32.0,311.0,131.0,208.0,2262.0,164.0
BESNARD CHRISTOPHE,394.0,35.0,308.0,124.0,199.0,2297.0,208.0
ANTHONY KOENS,436.0,34.0,317.0,131.0,174.0,2446.0,165.0
ANDY BOERCKEL,430.0,36.0,320.0,139.0,169.0,2374.0,163.0
RHIN BOURGEOIS,325.0,35.0,277.0,125.0,220.0,2287.0,182.0
TREVOR PHILLIPS,335.0,33.0,281.0,128.0,232.0,2269.0,165.0
ROBERT KRAMER,378.0,32.0,295.0,127.0,174.0,2390.0,160.0
NICK ARANDA,410.0,30.0,307.0,144.0,175.0,2383.0,160.0
MATT LAMBERTI,436.0,34.0,302.0,143.0,170.0,2344.0,185.0
GERRY MATYSCHSYK,382.0,31.0,277.0,132.0,193.0,2325.0,184.0
ISRAEL MERCADO,435.0,31.0,307.0,142.0,176.0,2350.0,136.0
JOSUE BURGOS,505.0,35.0,315.0,145.0,172.0,2322.0,143.0
CEDRIC BRYANT,342.0,31.0,307.0,128.0,196.0,2198.0,139.0
ZACHARY GIBBON,374.0,31.0,285.0,114.0,206.0,2307.0,142.0
BRENT KRAUSE,372.0,31.0,255.0,141.0,173.0,2402.0,163.0
AJ  ELIZONDO ,442.0,32.0,300.0,136.0,170.0,2320.0,137.0
NOAH PESTER,369.0,30.0,285.0,121.0,175.0,2312.0,143.0
JUSTIN RODGER,395.0,35.0,292.0,116.0,170.0,2311.0,140.0
JASON ARMENDARIZ,427.0,30.0,295.0,144.0,358.0,2226.0,117.0
ANDY TIMM,375.0,30.0,287.0,125.0,204.0,2251.0,116.0
BRYAN O'NEIL,424.0,35.0,286.0,130.0,170.0,2200.0,163.0
LOGAN JOHNSTONE,371.0,32.0,278.0,116.0,174.0,2258.0,165.0
SIMON BARG,382.0,33.0,267.0,130.0,172.0,2274.0,143.0
SEAN ODEAY,415.0,30.0,280.0,134.0,167.0,2411.0,140.0
JEREMY KINNICK,435.0,28.0,285.0,128.0,177.0,2355.0,137.0
MIGUEL PALOU,431.0,36.0,297.0,128.0,169.0,2395.0,47.0
SCOTT MCCLELLAND,384.0,36.0,265.0,127.0,163.0,2399.0,68.0
DAMION OVERSTREET,318.0,30.0,285.0,115.0,174.0,2284.0,91.0
DAVID ROCHON,361.0,30.0,285.0,121.0,172.0,2231.0,117.0
NIKOLAJ RONNOW,380.0,31.0,258.0,117.0,169.0,2439.0,117.0
RALPH LAZARO,514.0,31.0,285.0,132.0,158.0,2331.0,155.0
RICARDO SOBALVARRO,356.0,29.0,255.0,127.0,190.0,2227.0,136.0
NATHAN LUCZYNSKI,386.0,30.0,257.0,133.0,169.0,2310.0,117.0
CRAIG  BUCKLEY ,469.0,30.0,308.0,128.0,147.0,2418.0,94.0
HARRY JAGER,378.0,28.0,245.0,129.0,191.0,2280.0,119.0
MICHAEL BAILEY,429.0,30.0,237.0,144.0,168.0,2361.0,136.0
BRYAN  GARRETSON ,445.0,33.0,270.0,120.0,178.0,2223.0,95.0
JONATHAN  BOSCH,340.0,28.0,233.2,124.0,180.0,2263.0,140.0
FRANCISCO LARA,424.0,29.0,265.0,124.0,176.0,2245.0,115.0
JUSTIN BROWN,385.0,34.0,260.0,112.0,169.0,2220.0,138.0
NICHOLAS  PHILPOT,418.0,30.0,285.0,117.0,163.0,2272.0,88.0
NATHAN  DOUD,450.0,31.0,256.5,115.0,166.0,2323.0,136.0
GEOFFREY FRANKS,438.0,28.0,285.0,116.0,160.0,2382.0,88.0
BRIAN GOUIN,391.0,31.0,277.0,98.0,160.0,2268.0,115.0
STEFAN BEEKMAN,382.0,33.0,275.0,115.0,153.0,2197.0,114.0
BRANDON MALLOW,545.0,32.0,271.0,117.0,158.0,2307.0,162.0
MISAEL TOCA,400.0,26.0,265.0,122.0,188.0,2221.0,94.0
MATT MUNCY,790.0,30.0,315.0,119.0,155.0,2383.0,163.0
KYLE SHIPP,401.0,29.0,265.0,120.0,160.0,2257.0,116.0
JOHN MILLER III,457.0,29.0,280.0,113.0,175.0,2201.0,112.0
JUSTIN SMILEY,464.0,31.0,275.0,115.0,161.0,2243.0,129.0
ANDY RUSSELL ,360.0,31.0,277.0,103.0,163.0,2206.0,47.0
ERIC BOTSFORD,369.0,20.0,285.0,101.0,180.0,2159.0,155.0
PATRICK HENSON,491.0,27.0,275.0,107.0,159.0,2326.0,185.0
NICHOLAS  WAHLE ,448.0,28.0,300.0,96.0,176.0,2164.0,95.0
MACKENZIE BRIGGS,393.0,27.0,255.0,123.0,155.0,2349.0,94.0
HAMILTON  WELLS,528.0,25.0,295.0,114.0,168.0,2261.0,140.0
ANTONIO NIETO,385.0,26.0,293.0,98.0,170.0,2182.0,108.0
FRANKLYN MUNERA,437.0,30.0,235.0,122.0,178.0,2208.0,91.0
BRANDON WANLESS,582.0,26.0,325.0,115.0,164.0,2291.0,69.0
MATTHEW SAXSMA,681.0,29.0,265.0,116.0,157.0,2431.0,120.0
DUANE MCCABE,509.0,31.0,276.0,104.0,156.0,2264.0,92.0
DAVID CROSSON,634.0,28.0,257.5,120.0,162.0,2326.0,120.0
DAVID MYERS,582.0,30.0,275.0,121.0,90.0,2404.0,95.0
MICHAEL HENNINGER,570.0,31.0,275.0,114.0,112.0,2366.0,90.0
ANDREW  DRISCOLL,432.0,27.0,265.0,103.0,157.0,2292.0,90.0
FREDY URIBE,523.0,28.0,285.0,110.0,170.0,2039.0,115.0
JONATHAN SCOTT,463.0,31.0,265.0,101.0,113.0,2310.0,90.0
JEREMY CRISWELL,380.0,27.0,255.0,112.0,160.0,2187.0,86.0
MARK THATCHER,471.0,27.0,265.0,118.0,162.0,2136.0,91.0
FRANK PESEK,575.0,27.0,240.0,114.0,165.0,2312.0,112.0
STEVE REUTER,478.0,21.0,225.0,160.0,168.0,2245.0,91.0
DANIEL CODA,441.0,29.0,245.0,91.0,161.0,2272.0,90.0
BOB STEWART,485.0,27.0,265.0,101.0,155.0,2286.0,91.0
MICHAEL  BARTUNEK ,480.0,26.0,225.0,112.0,162.0,2324.0,92.0
BART FREEMAN,556.0,29.0,276.0,94.0,102.0,2311.0,93.0
BLAKE TRIPPY,560.0,25.0,261.0,98.0,174.0,2300.0,46.0
WILLIAM LOBERGER,497.0,28.0,250.0,116.0,159.0,2167.0,88.0
PAUL MCBRIDE,495.0,25.0,265.0,108.0,155.0,2242.0,70.0
FRANK RADOSTA,584.0,33.0,272.0,79.0,167.0,2177.0,45.0
VICTOR MADRID,535.0,22.0,280.0,100.0,161.0,2203.0,66.0
NICK BOSSERT,638.0,27.0,275.0,101.0,151.0,2283.0,88.0
JOE MATCHA,498.0,22.0,250.0,115.0,152.0,2271.0,67.0
SAUL CABRERA,539.0,26.0,265.0,104.0,169.0,2100.0,44.0
RYAN DICKINSON,730.0,31.0,245.0,110.0,157.0,2187.0,91.0
MARK PURCELL,659.0,28.0,260.0,104.0,112.0,2248.0,92.0
JORDAN SHEPLER,506.0,25.0,275.0,93.0,161.0,2119.0,62.0
TROY COCHRAN,610.0,23.0,230.0,78.0,137.0,2383.0,183.0
ROY VIGER,433.0,24.0,225.0,88.0,158.0,2221.0,67.0
ZACHARY SILVEUS,576.0,24.0,275.0,82.0,159.0,2158.0,64.0
LUIS ANDRADE,541.0,23.0,242.0,90.0,163.0,2167.0,65.0
NORMAN BOGDAN,626.0,18.0,255.0,104.0,162.0,2234.0,61.0
JASON OELKE,601.0,27.0,210.0,104.0,90.0,2384.0,64.0
BENJAMIN  SEIMS,634.0,21.0,250.0,115.0,156.0,2126.0,38.0
KEITH SMITH,612.0,22.0,225.0,114.0,154.0,2200.0,45.0
JUAN GONZALEZ,483.0,21.0,215.0,92.0,160.0,2129.0,62.0
MIKE BOLLINGER,720.0,24.0,245.0,98.0,107.0,2248.0,67.0
NIC GLASER,530.0,16.0,215.0,114.0,116.0,2233.0,66.0
SHADRACH FEILD,545.0,20.0,235.0,89.0,163.0,2104.0,66.0
ADAM GARCIA,697.0,23.0,240.0,103.0,133.0,2159.0,68.0
RICARDO HURTADO,848.0,21.0,285.0,72.0,124.0,2228.0,40.0
DARNELL PHILLIPS,593.0,21.0,235.0,111.0,111.0,2125.0,42.0
RONALD  MONTEZ,580.0,20.0,237.0,91.0,156.0,1923.0,61.0
MICHAEL BERARDI,570.0,22.0,220.0,88.0,150.0,2094.0,69.0
NICK KING,780.0,23.0,235.0,100.0,110.0,2215.0,46.0
LUIS PEREZ,682.0,22.0,265.0,86.0,114.0,2086.0,42.0
MATTHEW TUTTLE,740.0,24.0,258.0,85.0,91.0,2208.0,39.0
FERNANDO GALVEZ,635.0,22.0,235.0,93.0,110.0,2146.0,64.0
MATT WALKER,504.0,16.0,187.0,96.0,157.0,2164.0,36.0
SETH TOWNE,599.0,22.0,236.0,84.0,115.0,2079.0,85.0
JUVIE GONZALEZ,490.0,17.0,250.0,83.0,132.0,2056.0,39.0
RYAN DREW,720.0,15.0,215.0,74.0,112.0,2233.0,186.0
TYRONE RUDIO,717.0,22.0,242.0,92.0,148.0,2090.0,44.0
ARMANDO MARTINEZ,601.0,19.0,215.0,88.0,153.0,2118.0,69.0
TIM FELTS,692.0,23.0,225.0,95.0,135.0,2071.0,46.0
GRÉGORY  FRANÇOIS ,501.0,15.0,205.0,88.0,154.0,2195.0,21.0
DEMORREO  CALDWELL ,714.0,24.0,240.0,73.0,152.0,2051.0,61.0
COLM O'REILLY,646.0,16.0,243.0,86.0,135.0,2132.0,40.0
DAVE COLESANTO,584.0,18.0,215.0,82.0,158.0,2057.0,39.0
LUIS FRIAS,768.0,20.0,235.0,75.0,150.0,2098.0,88.0
GUSTAVO VELASCO,716.0,19.0,225.0,87.0,138.0,2091.0,60.0
JASON DEAL,725.0,15.0,203.5,105.0,105.0,2242.0,22.0
AARON SUCH,659.0,18.0,206.0,91.0,119.0,2153.0,40.0
NATHAN KING,681.0,19.0,225.0,84.0,90.0,2224.0,23.0
ANTONIO LARCO,720.0,18.0,255.0,85.0,107.0,2086.0,40.0
CHASE  HUOTARI ,655.0,16.0,205.0,92.0,154.0,1960.0,20.0
PJ KEARN,684.0,19.0,205.0,89.0,90.0,2112.0,37.0
MIGUEL MALAVE,862.0,14.0,225.0,94.0,103.0,2130.0,41.0
FRANK  MCCLOSKEY,628.0,12.0,215.0,84.0,140.0,2001.0,16.0
GARRET HOOD,982.0,22.0,215.0,84.0,90.0,2018.0,62.0
DAVID GERTING,720.0,14.0,195.0,84.0,101.0,2200.0,30.0
LEWIS OPHEIM,685.0,12.0,200.0,83.0,114.0,2052.0,38.0
BEN WORLEY,504.0,12.0,221.0,80.0,150.0,1926.0,30.0
JOAQUIN SEQUEIRA,720.0,9.0,205.0,75.0,120.0,2049.0,24.0
TIM CARROLL,387.0,36.0,310.0,122.0,169.0,2348.0,0
PARVIN PLASENCIA,349.0,26.0,300.0,124.0,178.0,2193.0,0
MIROSLAW NIEPIELSKI,484.0,31.0,285.0,108.0,179.0,0,117.0
JEFF TOOMER,377.0,26.0,245.0,114.0,164.0,2238.0,0
CHAD STEPHENS,471.0,31.0,255.0,95.0,160.0,2159.0,0
TERRANCE YAMASAKI,597.0,25.0,250.0,138.0,169.0,1969.0,0
TROY SMITH,599.0,26.0,267.0,94.0,156.0,2288.0,0
DUSTIN HOLM,472.0,24.0,240.0,100.0,140.0,2251.0,0
BRADLEY  MORGAN,628.0,25.0,235.0,94.0,153.0,2176.0,0
ARTURO RIVERA ,568.0,20.0,230.0,94.0,147.0,2159.0,0
CHRIS  VICTORIA,595.0,23.0,205.0,87.0,153.0,2020.0,0
RJ SMITH,591.0,15.0,227.0,73.0,110.0,1926.0,0
DALLAS HAUGHT ,334.0,35.0,305.0,0,0,2489.0,192.0
RYAN ELROD,368.0,35.0,305.0,133.0,285.0,0,0
ALEX O'BRYAN,475.0,36.0,325.0,118.0,180.0,0,0
BART BABINEAUX,481.0,31.0,315.0,130.0,0,2397.0,0
FILIP  TROJOVSKY ,388.0,32.0,280.0,125.0,191.0,0,0
BLUE ALDRIDGE,402.0,28.0,309.0,121.0,174.0,0,0
JOHN HAZDOVAC,384.0,30.0,300.0,103.0,188.0,0,0
JOSH RUFF,461.0,33.0,276.0,122.0,178.0,0,0
DUSTIN WINTERHALT,400.0,28.0,275.0,125.0,210.0,0,0
JUSTIN POWER,718.0,33.0,285.0,133.0,196.0,0,0
MATT BOLTON,451.0,28.0,295.0,116.0,160.0,0,0
JOSEPH WYLIE,427.0,29.0,260.0,0,0,2150.0,207.0
JESSIE WILLIAMS,495.0,28.0,275.0,114.0,182.0,0,0
THOMAS BROWN,428.0,32.0,238.0,110.0,174.0,0,0
STEPHEN  ROGALSKY ,528.0,32.0,305.0,108.0,155.0,0,0
NICHOLAS AMBROZAITIS,412.0,26.0,275.0,104.0,168.0,0,0
MIKE ALFARO,475.0,24.0,260.0,108.0,174.0,0,0
ALEJANDRO BANUELOS,387.0,31.0,257.0,60.0,155.0,0,0
DANIEL NORRIS,555.0,31.0,245.0,134.0,107.0,0,0
KAREEM HENDRICKS,475.0,28.0,255.0,98.0,164.0,0,0
BRICE JOHNSON,880.0,27.0,285.0,94.0,170.0,0,0
BRANDON SPANGLER,569.0,23.0,257.0,92.0,171.0,0,0
CHRIS WALLKER,517.0,29.0,225.0,117.0,122.0,0,0
PAUL DIAZ,543.0,28.0,235.0,98.0,159.0,0,0
KARL SIROIS,653.0,22.0,225.0,124.0,135.0,0,0
JOSE  CRUZ,879.0,25.0,276.0,90.0,91.0,0,0
GALDRIC  BAISSET,717.0,19.0,225.0,97.0,0,2201.0,0
TOM  VASILE ,685.0,21.0,245.0,72.0,151.0,0,0
JON MILWICH,720.0,21.0,265.0,80.0,65.0,0,0
ALEX ROUTT,820.0,22.0,250.0,71.0,140.0,0,0
BENJAMIN DOUGLASS,711.0,12.0,235.0,0,0,2107.0,37.0
"JAIME BARCELO, JR. ",669.0,17.0,215.0,108.0,96.0,0,0
IBRAHIM ALANSARI,715.0,15.0,195.0,0,0,1856.0,24.0
BRYAN HERING,669.0,9.0,175.0,90.0,104.0,0,0
NATHAN FRITTS,692.0,12.0,185.0,69.0,141.0,0,0
SHIMI LITKOWSKI,802.0,15.0,215.0,69.0,118.0,0,0
MAT COTE,745.0,15.0,210.0,102.0,151.0,0,0
JOÃO CARLOS  REIS,818.0,11.0,205.0,47.0,110.0,0,0
SHAWN LUKACSY,458.0,28.0,295.0,0,180.0,0,0
XAVIER IBARRA,614.0,17.0,215.0,113.0,0,0,0
JORGE PERALES,664.0,0,0,91.0,150.0,2034.0,0
ERIC ENGLER,531.0,21.0,200.0,0,0,2021.0,0
VINCENT GRUPPOSO,589.0,20.0,225.0,84.0,0,0,0
BENJAMIN  RUIZ,508.0,16.0,200.0,73.0,0,0,0
JULIAN SERNA,330.0,38.0,325.0,0,0,0,0
ROBERT PENA,396.0,37.0,285.0,0,0,0,0
JESSE YOUNG,459.0,30.0,302.0,0,0,0,0
JOSHUA SAVAGE,435.0,32.0,275.0,0,0,0,0
LUKAS DABBACHI,466.0,31.0,275.57,0,0,0,0
GRÉGORY PATTIER,430.0,27.0,280.0,0,0,0,0
MARK  IORIO,693.0,33.0,295.0,0,0,0,0
DAVID  SPURR,474.0,25.0,285.0,0,0,0,0
SEAN DODRILL,459.0,26.0,275.0,0,0,0,0
MICHAEL CRUZ,493.0,23.0,295.0,0,0,0,0
DALLAS HAGLER,472.0,26.0,275.0,0,0,0,0
JOEL GERMAIN,417.0,25.0,245.0,0,0,0,0
ABRAHAM  MONTE DE RAMOS,404.0,22.0,255.0,0,0,0,0
ROSS JOHNSON,509.0,26.0,255.0,0,0,0,0
