Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
ANTHONY KURZ,379.0,35.0,296.0,140.0,220.0,2457.0,189.0
HEATH MOODY,351.0,41.0,285.0,140.0,190.0,2439.0,204.0
ROBBY  MCCORD,393.0,29.0,285.0,148.0,192.0,2411.0,208.0
JEREMIAH  HEAD,349.0,30.0,277.0,147.0,198.0,2336.0,161.0
DAVID JOHNSTON,398.0,30.0,295.0,125.0,188.0,2343.0,136.0
RAMON LUIS BENITEZ,412.0,34.0,315.0,145.0,168.0,2285.0,140.0
VLAD LIASHKEVICH,391.0,30.0,287.0,125.0,175.0,2381.0,135.0
MIKE KERN,393.0,34.0,267.0,128.0,176.0,2321.0,161.0
NICK DESCHENES ,455.0,32.0,287.0,145.0,167.0,2433.0,166.0
DANNY HALE,526.0,35.0,277.0,132.0,214.0,2386.0,188.0
JUSTIN  LASALA,386.0,29.0,275.0,125.0,210.0,2289.0,161.0
PETE  HOWE ,406.0,28.0,286.0,157.0,182.0,2325.0,112.0
ART HAMILTON,469.0,37.0,297.0,122.0,171.0,2322.0,188.0
CHRIS  DAWES ,412.0,31.0,275.0,117.0,176.0,2311.0,203.0
BYRON JARRIN,417.0,30.0,281.0,127.0,185.0,2241.0,141.0
JEFF  DIPERNA,406.0,30.0,267.0,139.0,178.0,2331.0,134.0
JOEL HUGHES,426.0,35.0,267.0,124.0,177.0,2260.0,137.0
JARY JACKSON,413.0,30.0,275.0,134.0,193.0,2221.0,136.0
CHAD GONZALES,431.0,31.0,280.0,125.0,165.0,2303.0,146.0
BRIAN PIRONE,485.0,40.0,330.0,150.0,150.0,2318.0,190.0
IGNACIO FRANCO,410.0,27.0,270.0,130.0,182.0,2241.0,141.0
TRAVIS LOGSDON,529.0,32.0,275.0,116.0,173.0,2390.0,138.0
DJ FORSYTH ,469.0,29.0,287.0,113.0,186.0,2240.0,142.0
ROBERT HENRY,361.0,28.0,309.2,122.0,169.0,2249.0,81.0
KEITH BUSSOM ,533.0,30.0,270.0,129.0,166.0,2327.0,136.0
SEAN SEVERIN,466.0,30.0,247.0,124.0,175.0,2285.0,139.0
STEFANO FABBRINI,448.0,30.0,269.0,111.0,188.0,2233.0,110.0
ANTHONY GALLET,349.0,30.0,240.0,118.0,174.0,2234.0,116.0
MICHAEL HALL,527.0,33.0,245.0,129.0,169.0,2371.0,95.0
REAGAN PAYNE,446.0,29.0,275.0,114.0,176.0,2224.0,94.0
BRIAN YOAK,439.0,30.0,278.0,120.0,174.0,2188.0,64.0
MARCELO RIELA,411.0,29.0,260.0,113.0,194.0,2151.0,115.0
DAVID  HAMEL,388.0,31.0,225.0,127.0,167.0,2217.0,116.0
CHRIS RAIA,442.0,29.0,257.0,115.0,164.0,2309.0,112.0
MANUEL PINEDA,478.0,26.0,277.5,116.0,173.0,2251.0,94.0
TIAGO LOPES,448.0,29.0,267.0,94.0,174.0,2253.0,92.0
JUSTIN LAWRENCE,482.0,25.0,237.0,133.0,176.0,2342.0,114.0
JAMES THOMPSON,418.0,27.0,255.0,115.0,171.0,2153.0,142.0
TOM FUGIEL,508.0,29.0,242.0,116.0,174.0,2306.0,113.0
ANTHONY  FAZIO ,481.0,29.0,291.0,96.0,170.0,2155.0,98.0
GARY GONZALEZ,469.0,32.0,245.0,113.0,154.0,2228.0,113.0
RYAN RETTKE,468.0,31.0,265.0,106.0,159.0,2204.0,89.0
FOSTER KAALINAGY,593.0,31.0,247.0,115.0,175.0,2230.0,87.0
JASON  TOMLINSON,445.0,27.0,243.0,116.0,163.0,2232.0,115.0
TYSON STOLL,446.0,30.0,265.0,103.0,160.0,2156.0,107.0
DALE BARR,449.0,28.0,247.0,114.0,164.0,2222.0,112.0
JAVIER  DE LA TORRE ANDERSON,578.0,28.0,266.0,100.0,163.0,2384.0,92.0
JOSH KOLMETZ,462.0,28.0,276.0,112.0,134.0,2254.0,88.0
DAVID SMITH,594.0,30.0,267.0,117.0,112.0,2321.0,70.0
MATTHEW ZALANSKY,483.0,30.0,237.0,95.0,165.0,2249.0,114.0
PATRICK DI DODO,600.0,29.0,255.0,114.0,153.0,2228.0,140.0
JUAN CARLOS MARTINEZ,660.0,30.0,255.0,100.0,166.0,2280.0,106.0
JON CAPOBIANCO,565.0,29.0,260.0,113.0,166.0,2121.0,71.0
JOSEPH RENZI,507.0,24.0,265.0,105.0,173.0,2146.0,92.0
TONY LORUSSO,521.0,28.0,255.0,112.0,158.0,2191.0,72.0
DAVE PALFREMAN ,535.0,25.0,242.5,104.0,175.0,2236.0,88.0
JASON  HOLBROOK ,545.0,23.0,245.0,118.0,165.0,2240.0,90.0
TCHE .,535.0,27.0,285.0,90.0,155.0,2405.0,116.0
CHRISTOPHER MEOLI,536.0,25.0,245.0,112.0,160.0,2135.0,163.0
BRANDON  BUCK,430.0,27.0,222.0,124.0,157.0,2205.0,67.0
SEAN O'DAY,468.0,26.0,206.0,104.0,162.0,2265.0,92.0
COREY COSTELLO,631.0,21.0,245.0,124.0,180.0,2222.0,63.0
MATT PERRAUT,453.0,24.0,220.0,118.0,159.0,2216.0,88.0
DAVID BOZAK,537.0,21.0,260.0,101.0,171.0,2179.0,69.0
CLINT GUYMON,590.0,27.0,237.0,116.0,147.0,2222.0,82.0
GUILLERMO RODRIGUEZ,452.0,23.0,240.0,95.0,160.0,2189.0,88.0
MICHAEL CARRION,683.0,20.0,265.0,114.0,162.0,2237.0,69.0
DON ZUEHLKE,696.0,26.0,290.0,113.0,103.0,2219.0,45.0
TROY SMITH,488.0,25.0,235.0,102.0,179.0,2042.0,59.0
GIO MURRU,518.0,19.0,240.0,104.0,159.0,2183.0,112.0
PETER RAY,720.0,26.0,230.0,117.0,150.0,2303.0,84.0
RYAN HATLEY,718.0,30.0,285.0,99.0,118.0,2132.0,23.0
STEVEN BROUGH,483.0,26.0,217.0,90.0,168.0,2149.0,95.0
JP BOLWAHNN,586.0,23.0,255.0,93.0,165.0,2169.0,68.0
IVAN  SANCHEZ,428.0,25.0,235.0,105.0,116.0,2134.0,66.0
EAZY SWARTHOUT ,600.0,26.0,245.0,100.0,153.0,2038.0,88.0
MATT NIKODYM,543.0,22.0,235.0,92.0,155.0,2272.0,70.0
ERIC CHAPMAN,659.0,26.0,225.0,116.0,157.0,2173.0,64.0
LEI KAAUAMO,491.0,23.0,235.0,95.0,110.0,2236.0,70.0
HANS PETER AAVILD,561.0,21.0,243.0,92.0,168.0,2110.0,69.0
JOSH TARNATE,665.0,24.0,255.0,80.0,153.0,2169.0,48.0
RODOLFO DONOFRIO,602.0,16.0,226.0,114.0,156.0,2190.0,60.0
MICHAEL DUFF,749.0,25.0,275.0,78.0,152.0,2022.0,64.0
SHELDON WILLIAMS,567.0,18.0,240.0,90.0,166.0,2171.0,41.0
KEVIN DALTON,679.0,25.0,225.0,99.0,152.0,2154.0,69.0
