Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
BRYAN FOREST,541.0,17.0,145.0,92.0,197.0,1875.0,96.0
BRENT HANSARD,636.0,21.0,175.0,86.0,154.0,1958.0,40.0
KASEY MCCAULEY,536.0,26.0,275.0,108.0,158.0,2220.0,0
DAVID RINCONES,564.0,20.0,250.0,106.0,155.0,2108.0,0
DJ SLIVKA,373.0,27.0,245.0,90.0,278.0,2091.0,0
CRUZ TLAPALA,401.0,11.0,185.0,0,217.0,2175.0,96.0
SERGIO ZAMUDIO,819.0,29.0,185.0,101.0,0,2109.0,288.0
CARLOS ESCANILLA,387.0,36.0,185.0,116.0,270.0,2153.0,0
PAUL CONTE ,383.0,8.0,185.0,106.0,305.0,2016.0,0
SCOTT KELLY,321.0,26.0,165.0,109.0,104.0,1971.0,0
TIM SUPERCZYNSKI,654.0,27.0,185.0,60.0,90.0,2107.0,0
ANDERSON KAKAROTTO TOVAR LINARES ,552.0,27.0,248.0,150.0,150.0,2120.0,0
FELIX MEANA,560.0,30.0,295.0,150.0,207.0,0,0
GAVIN DAWSON,289.0,44.0,283.0,293.0,303.0,0,0
DWANE ECKES,511.0,27.0,255.0,135.0,235.0,0,0
JORGE SANCHEZ,636.0,25.0,275.0,103.0,235.0,0,0
ANTHONY NICOLOSI,327.0,19.0,137.0,137.0,122.0,0,0
JOHN KING,408.0,0,0,106.0,197.0,2198.0,81.0
JASON RICHARDSON,365.0,19.0,265.0,103.0,109.0,0,0
ERIC MEJIA,498.0,20.0,215.0,205.0,160.0,0,0
KRIS BELKEN,879.0,21.0,205.0,137.0,255.0,0,0
MATTHEW CLEMONS,760.0,14.0,255.0,90.0,154.0,0,0
IAN FIGUEROA,511.0,21.0,235.0,99.0,142.0,0,0
AUSTYN ADAMS,354.0,14.0,205.0,109.0,113.0,0,0
JOSE MIGUEL  RODRIGUEZ,833.0,20.0,195.0,84.0,150.0,0,0
LUIS VAZQUEZ,830.0,4.0,175.0,0,0,2029.0,66.0
BILLY METTEBA,415.0,11.0,215.0,114.0,206.0,0,0
EFRAIN RODRIGUEZ,720.0,6.0,180.0,89.0,193.0,0,0
ALAN HATCHER,369.0,28.0,185.0,0,197.0,2055.0,0
CONNER JURE,890.0,27.0,135.0,94.0,98.0,0,0
JONATHAN ARBOLEDA,453.0,29.0,165.0,94.0,257.0,0,0
ALEX COUPE,296.0,43.0,215.0,128.0,255.0,0,0
JOHN DAVID ROBERTSON,387.0,27.0,165.0,122.0,220.0,0,0
BRYAN TENER,385.0,27.0,165.0,93.0,167.0,0,0
LARRY TOSTRUD,900.0,12.0,145.0,44.0,110.0,0,0
ROBERT LOPEZ,696.0,26.0,165.0,55.0,162.0,0,0
REEF WARFIELD,275.0,21.0,230.0,152.0,0,0,0
RICHARD WALBERT,340.0,35.0,195.0,122.0,0,0,0
KYLE SAWCHUK,502.0,12.0,215.0,66.0,0,0,0
URIAH EILINGER,880.0,18.0,165.0,102.0,0,0,0
NICHOLAS ELLIOTT,912.0,14.0,145.0,95.0,0,0,0
JOSHUA JURY,588.0,14.0,135.0,0,0,1790.0,0
JUSTIN FENUS,458.0,40.0,225.0,100.0,0,0,0
CHRISTIAN HARO,560.0,28.0,170.0,99.0,0,0,0
CHRIS DICKERSON,734.0,8.0,250.0,144.0,0,0,0
JOHN HOSEGOOD,380.0,22.0,228.0,0,0,0,0
NICK BOUMERHI,720.0,18.0,245.0,0,0,0,0
JAMES WARTHEN,0,0,0,71.0,111.0,1955.0,0
MIKE LEVINE,425.0,24.0,155.0,0,0,0,0
ROWAN NEWMAN,325.0,16.0,205.0,0,0,0,0
COLIN TRABOLD,506.0,0,0,109.0,194.0,0,0
NORMAN CARRINGTON,699.0,17.0,185.0,0,0,0,0
JEREMY CRAFT,540.0,12.0,205.0,0,0,0,0
DOMINIC COBB,796.0,11.0,205.0,0,0,0,0
TIMOTHY  SAIPRAMUK,415.0,15.0,170.0,0,0,0,0
JULIEN FRIGGERI,720.0,23.0,165.0,0,0,0,0
RYAN LEE,720.0,14.0,125.0,0,0,0,0
CORY KRANTZ,795.0,26.0,155.0,0,0,0,0
GW BEAUX DYSON,573.0,8.0,175.0,0,0,0,0
RUBEN RAMIREZ,308.0,46.0,215.0,0,0,0,0
COLLIN LAWRENCE,343.0,36.0,205.0,0,0,0,0
BERNARDO PEREIRA SISCONETTO LEMOS,340.0,33.0,185.0,0,0,0,0
CHRIS CARR,253.0,33.0,160.0,0,0,0,0
PEDRAM ETEBARI,385.0,48.0,150.0,0,0,0,0
LEONARDO  BROTTO,535.0,24.0,242.0,0,0,0,0
DAVE SERSHEN,467.0,22.0,205.0,0,0,0,0
LEONARDO CABALLERO,632.0,30.0,175.0,0,0,0,0
CRAIG JACOBS,293.0,20.0,135.0,0,0,0,0
NESTOR LOPEZ,557.0,16.0,227.0,0,0,0,0
JASON PANICARO,513.0,26.0,175.0,0,0,0,0
ROBERT  FITZPATRICK ,720.0,28.0,175.0,0,0,0,0
CRAIG WYNN,622.0,28.0,155.0,0,0,0,0
RICHARD DINON,638.0,26.0,145.0,0,0,0,0
OMAR ORTIZ,779.0,25.0,145.0,0,0,0,0
ERIC KROH,0,0,0,108.0,200.0,0,0
JAKE JONES,660.0,0,0,0,154.0,0,0
TAYLOR WISE,497.0,0,0,0,0,0,0
JOHN HINTON,0,0,165.0,0,0,0,0
BYRON EVETTS,662.0,0,0,0,0,0,0
