Name,WOD 1,WOD 2,WOD 3,WOD 4,WOD 5,WOD 6,WOD 7
JOE HAMBY,641.0,29.0,262.0,148.0,254.0,2272.0,165.0
VIC MCQUAIDE,397.0,25.0,245.0,158.0,242.0,2210.0,213.0
RUSSELL FLINT,494.0,25.0,247.0,157.0,210.0,2240.0,166.0
MIKE FOURNIER ,547.0,29.0,257.0,159.0,135.0,2376.0,190.0
WES TAYLOR,546.0,26.0,247.0,154.0,215.0,2234.0,150.0
DEAN BANKS,543.0,27.0,217.0,149.0,228.0,2248.0,187.0
PATRICK  SPRAGUE,591.0,28.0,247.0,158.0,135.0,2300.0,212.0
DION WALMSLEY,510.0,25.0,237.0,141.0,198.0,2268.0,180.0
JEFF DEMPSEY,657.0,27.0,252.0,145.0,180.0,2300.0,161.0
MATT CLARK,605.0,25.0,245.0,157.0,208.0,2212.0,163.0
CHARLIE HAINES,647.0,30.0,265.0,144.0,142.0,2230.0,178.0
BOB PORZIO,664.0,30.0,247.0,135.0,192.0,2285.0,134.0
JOHN WILLIAMSON,576.0,25.0,262.0,132.0,207.0,2223.0,163.0
LIEMERSON  CAPORALLI,551.0,23.0,216.0,151.0,216.0,2309.0,156.0
CLIFF MUSGRAVE,482.0,25.0,208.0,143.0,224.0,2222.0,187.0
JODY HENDRIX,523.0,24.0,235.0,145.0,214.0,2240.0,109.0
MARK HERBICK,707.0,23.0,222.0,150.0,210.0,2246.0,213.0
JOHN KIM,576.0,26.0,237.0,144.0,218.0,2152.0,142.0
CHRIS NEEB,748.0,27.0,241.0,159.0,192.0,2245.0,137.0
ANDY KUHLMANN,696.0,26.0,242.0,151.0,192.0,2209.0,117.0
SEAN WEAVER,605.0,24.0,245.0,149.0,178.0,2170.0,113.0
BRUCE BEATON,677.0,25.0,242.0,123.0,139.0,2293.0,185.0
MARK ZIOLKOWSKI ,711.0,30.0,280.0,141.0,139.0,2279.0,40.0
WALLY SCHREIBER,715.0,29.0,257.0,123.0,193.0,2140.0,108.0
KELVIN MINEFEE,640.0,24.0,255.0,123.0,162.0,2121.0,136.0
RUSS KERSTETTER,775.0,32.0,236.0,128.0,139.0,2268.0,114.0
RICK DUNHAM,805.0,26.0,247.0,142.0,130.0,2232.0,162.0
MICHAEL COOK,679.0,18.0,217.0,136.0,250.0,2006.0,163.0
MIKE VENCI,766.0,27.0,245.0,130.0,142.0,2097.0,115.0
PATRICK SBRIZZI,659.0,23.0,232.0,125.0,166.0,2189.0,80.0
ROB MCCANDLESS,699.0,17.0,217.0,135.0,142.0,2233.0,116.0
TOM BURBANK,567.0,16.0,207.0,145.0,144.0,2156.0,112.0
ALEJANDRO  CURA,678.0,18.0,210.0,126.0,210.0,2068.0,142.0
WILLIAM ABRAHAM,718.0,22.0,237.0,129.0,81.0,2241.0,119.0
BRAD PENCE,782.0,24.0,217.0,128.0,143.0,2221.0,91.0
MARC REICHELDERFER,671.0,22.0,237.0,100.0,159.0,2184.0,92.0
JOHN ORRETT,529.0,22.0,210.0,122.0,131.0,2167.0,92.0
ROGER DAVIS,565.0,19.0,205.0,125.0,206.0,2081.0,64.0
RICK ADAMUCCI,506.0,12.0,195.0,126.0,217.0,2094.0,80.0
CHRIS ARCONA,728.0,11.0,205.0,134.0,244.0,2163.0,90.0
WESTON WINEGAR,810.0,18.0,237.0,118.0,130.0,2265.0,116.0
JIM  MILANI,625.0,21.0,196.0,132.0,130.0,2199.0,65.0
JASON NAKAYAMA,655.0,19.0,205.0,80.0,186.0,2045.0,88.0
LUIS GARCIA,639.0,15.0,231.0,117.0,130.0,2020.0,94.0
JOHNNY BYRD,743.0,22.0,217.0,116.0,135.0,2167.0,64.0
KIRK MCCAFFERTY ,758.0,16.0,205.0,131.0,130.0,2210.0,67.0
TOM RING,791.0,15.0,217.0,113.0,136.0,2168.0,93.0
GEORGE WARMKESSEL,681.0,13.0,205.0,121.0,130.0,2167.0,88.0
PAT GAGLIANO,720.0,16.0,201.0,132.0,130.0,2044.0,86.0
JOE BURCHFIELD ,796.0,13.0,199.0,148.0,141.0,2070.0,66.0
MATTHEW LAWRENCE,597.0,10.0,177.0,114.0,187.0,2097.0,71.0
JERRY GRIFFIN,907.0,14.0,205.0,129.0,91.0,2207.0,119.0
JIM TSCHAMPL,714.0,10.0,205.0,122.0,136.0,2121.0,65.0
JOSEPH  ARVAY,783.0,16.0,200.0,114.0,141.0,2115.0,69.0
TOMMY COLLINS,625.0,14.0,202.0,105.0,130.0,2096.0,71.0
RICHARD BROWNE,892.0,14.0,205.0,121.0,130.0,2154.0,106.0
PATRICK HAVERTY,717.0,13.0,200.0,120.0,139.0,2023.0,61.0
PRESTON LEE,785.0,12.0,197.0,121.0,187.0,2003.0,46.0
MIKE COTTLE,785.0,12.0,195.0,114.0,132.0,2120.0,93.0
RUSS GRAY,800.0,14.0,205.0,115.0,130.0,2221.0,24.0
DONALD CLARK,727.0,11.0,202.0,121.0,139.0,2025.0,45.0
BARRY PLANT,853.0,14.0,205.0,90.0,86.0,2321.0,45.0
RODNEY PLAMONDON,651.0,10.0,190.0,94.0,130.0,2056.0,68.0
CORY  WATKINS ,708.0,15.0,195.0,113.0,131.0,2022.0,40.0
DOUG TOLLE,894.0,9.0,197.0,129.0,130.0,2221.0,38.0
NICK JAMES,870.0,12.0,198.42,109.0,135.0,2086.0,40.0
STEVEN SURGEONER,787.0,13.0,198.0,106.0,124.0,2026.0,61.0
SCOTT DRAGO,990.0,10.0,190.0,109.0,185.0,1995.0,61.0
ROBERT NEVILLE,1160.0,13.0,195.0,102.0,101.0,2098.0,86.0
DANIEL DANAO,690.0,10.0,185.0,94.0,138.0,1842.0,20.0
DAVE ELTZ,701.0,13.0,190.0,89.0,119.0,1973.0,40.0
CLETE BONNEY,720.0,11.0,195.0,93.0,130.0,1946.0,43.0
BRAD GALLE,781.0,4.0,175.0,72.0,132.0,2073.0,44.0
JOSE SANGUILY ,828.0,8.0,175.0,90.0,117.0,2171.0,41.0
ERIK  TRAEGER,844.0,8.0,192.0,120.0,106.0,2054.0,69.0
BRIAN WASCAVAGE ,851.0,10.0,187.0,101.0,81.0,2051.0,35.0
STEPHEN MOBLEY ,848.0,2.0,170.0,66.0,128.0,1820.0,17.0
CHRIS CHILTON,643.0,15.0,135.0,88.0,160.0,1859.0,22.0
DANN MORIN,633.0,23.0,230.0,152.0,227.0,2087.0,0
KURT REVELS,511.0,16.0,205.0,137.0,143.0,2225.0,0
DAN  RANEY,767.0,24.0,227.0,140.0,130.0,2177.0,0
MARC ESPINOZA ,720.0,18.0,210.0,121.0,99.0,2134.0,0
RICH CRUZ,876.0,20.0,225.0,0,130.0,2100.0,56.0
HOWARD H,795.0,12.0,191.0,94.0,130.0,1924.0,0
IVAN TOPALOVIC,0,11.0,198.0,92.0,155.0,2012.0,41.0
KARL DYALL,571.0,22.0,242.0,145.0,191.0,0,0
CHRIS PODESTO,802.0,29.0,251.0,147.0,225.0,0,0
DARIN KEIR,788.0,24.0,245.0,0,0,2246.0,165.0
TOMMIE OSBORN,580.0,22.0,215.0,133.0,150.0,0,0
TREY HEYWARD,682.0,22.0,225.0,120.0,142.0,0,0
DONOVAN  CARROLL,717.0,26.0,232.0,122.0,130.0,0,0
MICHAEL VENTURA,668.0,18.0,205.0,123.0,141.0,0,0
JEFF TYSINGER,839.0,18.0,215.0,119.0,187.0,0,0
DION HILD,787.0,18.0,217.0,113.0,138.0,0,0
STUART BELL,806.0,10.0,175.0,119.0,0,2167.0,0
GREG SNODDY,720.0,33.0,190.0,144.0,225.0,0,0
JIM SHELLENBERGER,515.0,17.0,215.0,146.0,0,0,0
BILL CILEO,529.0,23.0,207.0,0,183.0,0,0
PRESTON HINRICHS,0,0,0,118.0,171.0,2170.0,66.0
JUAN VELASQUEZ ,817.0,21.0,245.0,0,0,1984.0,0
RON GRAZIANO,631.0,19.0,210.0,0,0,0,0
GERALD PAULSON,740.0,20.0,195.0,0,0,0,0
JOHN  HORNE,749.0,17.0,204.0,0,0,0,0
MIKE MCDANIEL ,800.0,17.0,207.0,0,0,0,0
JOHN  BRENNAN,706.0,10.0,187.0,0,0,0,0
NORBERT PEREZ,791.0,1.0,165.0,0,0,0,0
JOHN YAUN,723.0,0,0,0,0,0,0
MARK STONE,776.0,0,0,0,0,0,0
ALBERTO RIBAS,0,0,0,0,0,0,0
BILL COLAVITO ,0,0,0,0,0,0,0
CHRIS RATH,0,0,0,0,0,0,0
DANIEL HERNANDEZ,0,0,0,0,0,0,0
DONALD MYERS,0,0,0,0,0,0,0
FRANCIS VALCOURT,0,0,0,0,0,0,0
GLENN NELSON,0,0,0,0,0,0,0
HAROLD OROZCO,0,0,0,0,0,0,0
JAMEA WESTER,0,0,0,0,0,0,0
JAMES ENGLISH,0,0,0,0,0,0,0
JAMIE THURBER,0,0,0,0,0,0,0
JEFF COLEMAN,0,0,0,0,0,0,0
JOE AMES,0,0,0,0,0,0,0
JOE LOPEZ,0,0,0,0,0,0,0
JULIAN LADOUX,0,0,0,0,0,0,0
KELLY BARCOL,0,0,0,0,0,0,0
KEN RICHARDSON,0,0,0,0,0,0,0
KEVIN BYRNE,0,0,0,0,0,0,0
KEVIN KOESTER,0,0,0,0,0,0,0
KORY SPEAR,0,0,0,0,0,0,0
LUIZ SERGIO BARROS DE MEDEIROS ALBUQUERQUE,0,0,0,0,0,0,0
MARK TAMIS,0,0,0,0,0,0,0
MICHAEL FRETWELL,0,0,0,0,0,0,0
PAUL COURSEY,0,0,0,0,0,0,0
ROBERT RICHMOND,0,0,0,0,0,0,0
SEAN NORTH,0,0,0,0,0,0,0
SÉRGIO  FERREIRA,0,0,0,0,0,0,0
TODD BAKER,0,0,0,0,0,0,0
TODD VERSHAW,0,0,0,0,0,0,0
TOM ODDO,0,0,0,0,0,0,0
TONY TOSH,0,0,0,0,0,0,0
